"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","1uf","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C2,C3","2","1uF  50V","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"C5","1","4.7uf","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C7","1","100nf","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C8","1","0.1uF  50V","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"J1","1","GPIO","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J5","1","Dual DAC","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J6","1","AudioJack4_Ground","","","","Connector_Audio:Jack_3.5mm_PJ311_Horizontal","~"
"J7","1","Mono Dac","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J8","1","GPIO Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J10","1","Vin/out","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J11","1","AUX Pinout","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J12","1","DAC AUX","","","","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
"J13","1","USB_C","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1","1","5.1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","1","5.1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3,R4","2","47R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","1","10kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","ESP32-WROOM-32UE","","","","RF_Module:ESP32-WROOM-32UE","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf"
"U2","1","CH340C","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf"
"U3","1","XC6206P332MR","","","","Package_TO_SOT_SMD:SOT-23","https://www.torexsemi.com/file/xc6206/XC6206.pdf"
"U4","1","LTC3240EDC-3_3","","","","Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.5mm_EP0.61x1.42mm",""
